submission_id,platform,campaign_type,days_live,creator_followers,avg_views_30d,video_length_sec,views,likes,comments,shares,saves,reach,avg_watch_time_sec,completion_rate,tier1_audience_pct,profile_traffic_pct,search_traffic_pct,fyp_reels_explore_pct,graph_pattern,retention_pattern,max_view_jump_pct,flatline_hours_before_jump,like_freeze_flag,late_like_spike_flag,no_matching_engagement_flag,comment_quality,suspicious_comment_pct,repeated_comment_pct,bot_like_profile_pct,views_to_avg_multiplier,like_rate,comment_rate,share_rate,engagement_rate,reach_view_ratio,fraud_risk_score,risk_level,label,decision_recommendation,likely_fraud_type,reviewer_reason,suggested_action,source_type,source_note
SYN-0277,Instagram,Mobile Game Speedrun,4,2195,2583,12,341702,1590,17,65,1286,32360,0.14,0.012,0.4921,0.8242,0.3061,0.0,flat_then_spike,broken_or_missing,1.3439,20,False,False,True,generic_repeated,0.4914,0.8503,0.8149,132.2888,0.004653,5e-05,0.00019,0.004893,0.094702,99,Critical,botted,Reject,fake_boost,large sudden view jump; views rise without matching engagement; low reach-to-view ratio; high profile/search-style traffic,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0080,YouTube Shorts,Car Slideshows,11,219,50,8,208,2,0,1,0,178,5.27,0.6583,0.7341,0.1876,0.0521,0.7158,smooth_gradual,strong_retention,0.164,4,False,False,False,short_but_relevant,0.0207,0.0722,0.0245,4.16,0.009615,0.0,0.004808,0.014423,0.855769,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0075,Instagram,Tech Gadget,2,44784,11022,45,40933,3229,321,27,42,34669,29.93,0.6652,0.4238,0.1774,0.092,0.6739,normal_viral_smooth,strong_retention,0.25,1,False,False,False,relevant_discussion,0.0955,0.0782,0.0843,3.7138,0.078885,0.007842,0.00066,0.087387,0.846969,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0145,Instagram,Car Slideshows,1,38631,27178,12,320603,7271,186,405,1211,42092,1.21,0.1012,0.4829,0.504,0.3139,0.1005,late_like_spike,flat_or_odd,0.8174,4,False,True,False,mixed,0.5849,0.1313,0.214,11.7964,0.022679,0.00058,0.001263,0.024523,0.13129,64,High,suspicious,Reject and ask for analytics in ticket,possible_fake_boost,late like spike; low reach-to-view ratio; high profile/search-style traffic,Reject and write: Send analytics in ticket.,synthetic,Synthetic suspicious example generated from review rules.
SYN-0056,YouTube Shorts,Finance Explainer,9,6371,800,25,984,8,1,5,0,844,9.84,0.3937,0.5672,0.0602,0.0518,0.8765,smooth_gradual,gradual_drop,0.3444,4,False,False,False,relevant_discussion,0.097,0.0728,0.0836,1.23,0.00813,0.001016,0.005081,0.014228,0.857724,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0108,YouTube Shorts,Fitness Clip,3,178715,162452,10,600000,6409,218,112,565,371687,3.79,0.3795,0.4741,0.4261,0.0665,0.4506,low_engagement_smooth,flat_or_odd,0.439,24,False,False,False,emoji_spam,0.2467,0.1318,0.5227,3.6934,0.010682,0.000363,0.000187,0.011232,0.619478,49,Medium,suspicious,Needs Manual Review,needs_analytics,comment quality: emoji_spam,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0032,YouTube Shorts,AI App Demo,13,219964,88437,8,409895,4619,111,666,179,385865,3.83,0.4785,0.7922,0.1363,0.0956,0.7498,normal_viral_smooth,gradual_drop,0.157,0,False,False,False,relevant_discussion,0.0619,0.0426,0.1423,4.6349,0.011269,0.000271,0.001625,0.013164,0.941375,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0084,TikTok,Tech Gadget,5,111,156,15,436,61,2,6,3,408,11.62,0.7747,0.6969,0.1341,0.0165,0.8023,smooth_gradual,strong_retention,0.3379,4,False,False,False,relevant_discussion,0.0853,0.0461,0.0718,2.7949,0.139908,0.004587,0.013761,0.158257,0.93578,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0158,TikTok,Tech Gadget,2,2719,3214,30,120570,687,38,46,386,88162,6.63,0.2211,0.5968,0.4906,0.0694,0.3841,low_engagement_smooth,low_watch_time,1.5484,30,False,False,False,emoji_spam,0.3228,0.4491,0.4736,37.514,0.005698,0.000315,0.000382,0.006395,0.73121,72,High,suspicious,Reject and ask for analytics in ticket,possible_engagement_pod,large sudden view jump; comment quality: emoji_spam,Reject and write: Send analytics in ticket.,synthetic,Synthetic suspicious example generated from review rules.
SYN-0021,Instagram,Finance Explainer,4,356280,323608,45,928353,39507,5065,5732,375,873390,19.75,0.4389,0.447,0.1443,0.0738,0.7191,normal_viral_smooth,strong_retention,0.3469,2,False,False,False,short_but_relevant,0.0282,0.0174,0.1487,2.8688,0.042556,0.005456,0.006174,0.054186,0.940795,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0020,YouTube Shorts,Anime Edit,5,996,1367,8,5025,130,5,14,5,4315,3.62,0.4522,0.7959,0.1647,0.1186,0.6902,smooth_gradual,gradual_drop,0.3193,0,False,False,False,relevant_discussion,0.0256,0.0403,0.0923,3.6759,0.025871,0.000995,0.002786,0.029652,0.858706,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0267,TikTok,Anime Edit,12,153,64,15,10000,247,1,5,24,3533,0.39,0.0263,0.3137,0.4206,0.3731,0.1064,likes_freeze,flat_retention,2.1552,42,True,False,True,emoji_spam,0.9673,0.3964,0.5179,156.25,0.0247,0.0001,0.0005,0.0253,0.3533,99,Critical,botted,Reject,fake_views,large sudden view jump; views rise without matching engagement; high views with almost no comments; likes freeze while views increase,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0283,TikTok,Car Slideshows,6,2938,4309,20,301964,20272,1,22,276,130235,2.19,0.1096,0.2783,0.7141,0.4637,0.0,vertical_spike_no_engagement,very_low_watch_time,3.0764,11,True,False,True,none,0.7208,0.622,0.5678,70.0775,0.067134,3e-06,7.3e-05,0.06721,0.431293,99,Critical,botted,Reject,fake_views,large sudden view jump; views rise without matching engagement; high views with almost no comments; likes freeze while views increase,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0122,YouTube Shorts,Mobile Game Speedrun,10,32957,30798,8,385415,2092,37,243,162,346086,2.51,0.3132,0.2367,0.4514,0.114,0.3806,late_like_spike,low_watch_time,0.8943,13,True,True,False,unrelated,0.213,0.2749,0.3984,12.5143,0.005428,9.6e-05,0.00063,0.006154,0.897957,50,Medium,suspicious,Needs Manual Review,possible_engagement_pod,likes freeze while views increase; late like spike; comment quality: unrelated,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0148,TikTok,Mobile Game Speedrun,1,267,288,45,17008,360,4,22,55,13593,10.57,0.2349,0.6583,0.2069,0.1073,0.6476,low_engagement_smooth,sudden_drop,1.3111,18,False,False,True,generic_repeated,0.3406,0.3291,0.2902,59.0556,0.021167,0.000235,0.001294,0.022695,0.799212,45,Medium,suspicious,Needs Manual Review,possible_fake_views,large sudden view jump; views rise without matching engagement; comment quality: generic_repeated,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0184,Instagram,Car Slideshows,10,21019,31276,10,600000,7213,13,248,2836,98395,1.99,0.1987,0.1743,0.4539,0.3125,0.1805,low_engagement_smooth,sudden_drop,1.4868,21,False,False,False,generic_repeated,0.3592,0.3657,0.5604,19.184,0.012022,2.2e-05,0.000413,0.012457,0.163992,58,Medium,suspicious,Needs Manual Review,needs_analytics,large sudden view jump; low reach-to-view ratio; comment quality: generic_repeated,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0120,YouTube Shorts,Mobile Game Speedrun,3,249399,233367,25,600000,6362,208,328,223,351807,9.18,0.367,0.5867,0.5222,0.2023,0.2154,low_engagement_smooth,sudden_drop,1.3844,17,True,False,False,emoji_spam,0.4846,0.2844,0.299,2.5711,0.010603,0.000347,0.000547,0.011497,0.586345,45,Medium,suspicious,Needs Manual Review,possible_fake_boost,large sudden view jump; likes freeze while views increase; high profile/search-style traffic; comment quality: emoji_spam,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0163,YouTube Shorts,Car Slideshows,14,260852,148558,20,600000,8437,140,517,501,403964,3.94,0.1971,0.4634,0.358,0.0583,0.52,step_like_batches,low_watch_time,0.5851,8,False,False,False,generic_repeated,0.4138,0.4021,0.2309,4.0388,0.014062,0.000233,0.000862,0.015157,0.673273,56,Medium,suspicious,Needs Manual Review,possible_fake_views,comment quality: generic_repeated,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0009,TikTok,Travel Hook,9,42507,24435,25,60404,8311,129,888,154,34005,18.49,0.7396,0.8081,0.0296,0.0934,0.8345,normal_viral_smooth,gradual_drop,0.3644,0,False,False,False,short_but_relevant,0.0583,0.0045,0.0705,2.472,0.13759,0.002136,0.014701,0.154427,0.562959,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0168,YouTube Shorts,Finance Explainer,14,105304,18464,15,600000,6447,14,753,55,447821,5.41,0.3609,0.4178,0.5763,0.2008,0.1338,flat_then_spike,low_watch_time,0.7068,27,False,False,True,mixed,0.4069,0.2317,0.3948,32.4957,0.010745,2.3e-05,0.001255,0.012023,0.746368,50,Medium,suspicious,Needs Manual Review,possible_autoswipe,views rise without matching engagement; high profile/search-style traffic,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0132,TikTok,Car Slideshows,1,1596,672,15,10000,159,5,5,25,7121,4.31,0.2875,0.4912,0.3563,0.1578,0.4344,low_engagement_smooth,low_watch_time,1.2662,12,False,False,True,emoji_spam,0.1885,0.1433,0.4728,14.881,0.0159,0.0005,0.0005,0.0169,0.7121,59,Medium,suspicious,Needs Manual Review,possible_fake_views,large sudden view jump; views rise without matching engagement; comment quality: emoji_spam,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0141,TikTok,AI App Demo,1,3631,1933,15,83844,885,7,128,350,73489,4.41,0.2938,0.5741,0.1589,0.3698,0.3948,low_engagement_smooth,flat_or_odd,1.2446,13,False,False,False,emoji_spam,0.3283,0.3901,0.2128,43.3751,0.010555,8.3e-05,0.001527,0.012165,0.876497,74,High,suspicious,Reject and ask for analytics in ticket,possible_engagement_pod,large sudden view jump; comment quality: emoji_spam,Reject and write: Send analytics in ticket.,synthetic,Synthetic suspicious example generated from review rules.
SYN-0233,TikTok,Mobile Game Speedrun,2,154,50,12,10000,797,1,1,48,4331,2.46,0.2053,0.2787,0.4061,0.5066,0.0628,step_like_batches,very_low_watch_time,2.88,60,False,True,True,none,0.4572,0.7454,0.4731,200.0,0.0797,0.0001,0.0001,0.0799,0.4331,99,Critical,botted,Reject,view_injection,large sudden view jump; views rise without matching engagement; high views with almost no comments; late like spike,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0033,Instagram,Travel Hook,4,4289,3786,10,5878,185,15,68,16,5486,6.59,0.6586,0.6933,0.0696,0.1443,0.7821,normal_viral_smooth,strong_retention,0.3911,1,False,False,False,short_but_relevant,0.0813,0.0292,0.1638,1.5526,0.031473,0.002552,0.011569,0.045594,0.933311,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0287,TikTok,Mobile Game Speedrun,10,1118,820,8,33213,719,6,22,78,18239,1.61,0.2007,0.4346,0.3639,0.2238,0.4077,step_like_batches,flat_retention,2.2046,49,False,False,False,none,0.9304,0.9258,0.5749,40.5037,0.021648,0.000181,0.000662,0.022491,0.549152,84,Critical,botted,Reject,view_injection,large sudden view jump; comment quality: none,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0049,YouTube Shorts,Anime Edit,6,5480,1813,8,8873,177,15,18,1,3118,3.25,0.4064,0.4219,0.0341,0.0499,0.8431,normal_viral_smooth,strong_retention,0.2182,1,False,False,False,mixed,0.0008,0.0773,0.08,4.8941,0.019948,0.001691,0.002029,0.023667,0.351403,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0147,YouTube Shorts,Mobile Game Speedrun,12,15783,18694,20,600000,1163,7,552,594,557169,5.94,0.2971,0.5055,0.5981,0.343,0.0,late_like_spike,sudden_drop,1.6399,23,True,True,False,emoji_spam,0.4733,0.2061,0.3772,32.0959,0.001938,1.2e-05,0.00092,0.00287,0.928615,51,Medium,suspicious,Needs Manual Review,possible_engagement_pod,large sudden view jump; likes freeze while views increase; late like spike; high profile/search-style traffic,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0284,Instagram,Car Slideshows,2,65,50,8,10000,38,1,2,41,666,1.42,0.1778,0.4004,0.8562,0.4491,0.0,flat_then_spike,broken_or_missing,2.5715,35,False,False,True,none,0.9932,0.8578,0.8835,200.0,0.0038,0.0001,0.0002,0.0041,0.0666,99,Critical,botted,Reject,fake_likes,large sudden view jump; views rise without matching engagement; high views with almost no comments; low reach-to-view ratio,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0081,Instagram,Travel Hook,12,5682,6972,60,15721,778,61,16,66,8759,36.84,0.614,0.8239,0.1691,0.0177,0.7833,smooth_gradual,strong_retention,0.0742,0,False,False,False,short_but_relevant,0.0627,0.0582,0.133,2.2549,0.049488,0.00388,0.001018,0.054386,0.557153,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0010,Instagram,Finance Explainer,2,895,1256,45,2697,199,8,2,10,2426,27.59,0.6132,0.4898,0.1574,0.1222,0.7023,normal_viral_smooth,gradual_drop,0.1321,4,False,False,False,mixed,0.0078,0.0329,0.0404,2.1473,0.073786,0.002966,0.000742,0.077494,0.899518,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0028,Instagram,Mobile Game Speedrun,1,414,359,12,523,42,2,5,1,310,5.69,0.4741,0.4257,0.1639,0.0262,0.7329,normal_viral_smooth,strong_retention,0.1808,4,False,False,False,mixed,0.0063,0.0586,0.1753,1.4568,0.080306,0.003824,0.00956,0.09369,0.592734,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0271,TikTok,Travel Hook,3,24103,7308,30,850000,3144,117,30,4564,703548,1.4,0.0465,0.4168,0.3922,0.3936,0.1485,likes_freeze,flat_retention,1.6153,24,True,False,False,emoji_spam,0.9207,0.7605,0.931,116.3109,0.003699,0.000138,3.5e-05,0.003872,0.827704,99,Critical,botted,Reject,fake_likes,large sudden view jump; likes freeze while views increase; comment quality: emoji_spam,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0183,TikTok,Mobile Game Speedrun,14,18237,2475,10,61899,1358,19,4,66,55294,3.28,0.3278,0.6639,0.1914,0.2455,0.5,flat_then_spike,sudden_drop,0.7906,20,False,False,True,mixed,0.5188,0.4855,0.4073,25.0097,0.021939,0.000307,6.5e-05,0.022311,0.893294,50,Medium,suspicious,Needs Manual Review,possible_engagement_pod,views rise without matching engagement,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0228,TikTok,Anime Edit,8,5006,5150,60,207221,1542,7,15,1122,114687,12.24,0.2039,0.1657,0.5984,0.1997,0.1883,step_like_batches,very_low_watch_time,1.7607,9,False,True,False,unrelated,0.758,0.6499,0.9468,40.2371,0.007441,3.4e-05,7.2e-05,0.007547,0.553453,89,Critical,botted,Reject,fake_likes,large sudden view jump; late like spike; high profile/search-style traffic; comment quality: unrelated,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0087,YouTube Shorts,AI App Demo,14,143,52,12,178,1,1,0,0,71,3.39,0.2829,0.7656,0.0914,0.0907,0.7275,normal_viral_smooth,strong_retention,0.2739,2,False,False,False,short_but_relevant,0.0745,0.0261,0.139,3.4231,0.005618,0.005618,0.0,0.011236,0.398876,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0290,TikTok,Fitness Clip,8,148,59,25,10000,7,1,3,9,9289,5.03,0.2013,0.3066,0.4276,0.4188,0.1153,vertical_spike_no_engagement,very_low_watch_time,1.6938,44,False,False,True,generic_repeated,0.785,0.4,0.7814,169.4915,0.0007,0.0001,0.0003,0.0011,0.9289,99,Critical,botted,Reject,view_injection,large sudden view jump; views rise without matching engagement; high views with almost no comments; comment quality: generic_repeated,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0194,Instagram,Car Slideshows,3,40180,4029,8,176760,2091,5,2,579,74627,2.74,0.3428,0.4119,0.5257,0.1717,0.3006,low_engagement_smooth,sudden_drop,1.695,29,False,False,True,mixed,0.5575,0.1016,0.4345,43.8719,0.01183,2.8e-05,1.1e-05,0.011869,0.422194,45,Medium,suspicious,Needs Manual Review,possible_engagement_pod,large sudden view jump; views rise without matching engagement; high profile/search-style traffic,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0115,TikTok,Fitness Clip,1,1327,1889,45,118513,844,75,129,344,57823,13.37,0.2972,0.5156,0.2765,0.0981,0.5861,step_like_batches,sudden_drop,0.761,14,False,False,False,mixed,0.2365,0.3453,0.2243,62.7385,0.007122,0.000633,0.001088,0.008843,0.487904,53,Medium,suspicious,Needs Manual Review,needs_analytics,mixed signals require analytics,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0213,YouTube Shorts,AI App Demo,10,19852,4652,8,522785,3459,9,15,47,357697,0.62,0.0779,0.0866,0.7655,0.562,0.0,step_like_batches,broken_or_missing,1.3341,16,True,False,False,emoji_spam,0.8548,0.8332,0.9317,112.3785,0.006616,1.7e-05,2.9e-05,0.006662,0.684214,99,Critical,botted,Reject,view_injection,large sudden view jump; likes freeze while views increase; high profile/search-style traffic; comment quality: emoji_spam,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0166,Instagram,Travel Hook,6,29537,37618,20,600000,3296,237,732,3146,205933,3.78,0.1892,0.4072,0.5359,0.339,0.0983,late_like_spike,flat_or_odd,0.7231,22,True,True,False,emoji_spam,0.4384,0.4947,0.2509,15.9498,0.005493,0.000395,0.00122,0.007108,0.343222,48,Medium,suspicious,Needs Manual Review,possible_fake_boost,likes freeze while views increase; late like spike; high profile/search-style traffic; comment quality: emoji_spam,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0240,YouTube Shorts,Finance Explainer,12,16296,22850,25,850000,123,84,387,598,353477,2.16,0.0863,0.1036,0.4464,0.2999,0.2014,step_like_batches,flat_retention,1.773,33,True,False,False,emoji_spam,0.7842,0.8289,0.814,37.1991,0.000145,9.9e-05,0.000455,0.000699,0.415855,99,Critical,botted,Reject,fake_boost,large sudden view jump; likes freeze while views increase; comment quality: emoji_spam,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0222,YouTube Shorts,Mobile Game Speedrun,12,123,62,12,10000,76,1,1,4,8693,0.41,0.0338,0.1127,0.786,0.4298,0.0,step_like_batches,flat_retention,0.815,61,False,False,True,unrelated,0.4513,0.6389,0.8719,161.2903,0.0076,0.0001,0.0001,0.0078,0.8693,99,Critical,botted,Reject,fake_boost,views rise without matching engagement; high views with almost no comments; high profile/search-style traffic; comment quality: unrelated,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0159,YouTube Shorts,Fitness Clip,13,163066,46439,20,600000,4200,6,582,302,578710,4.14,0.2071,0.4043,0.2705,0.2391,0.4529,flat_then_spike,sudden_drop,1.5243,14,False,False,True,emoji_spam,0.2972,0.3377,0.4261,12.9202,0.007,1e-05,0.00097,0.00798,0.964517,50,Medium,suspicious,Needs Manual Review,possible_fake_boost,large sudden view jump; views rise without matching engagement; comment quality: emoji_spam,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
